Name,Gender
Munabbih,Male
Jabr,Male
Khunais,Male
Hubab,Male
Khalid,Male
Nafi,Male
Safwan,Male
Muaz,Male
Adiyy,Male
Jabir,Male
Abd,Male
Sa’d,Male
Jafar,Male
Zubayr,Male
Ammar,Male
Harith,Male
Hanzalah,Male
Miqdad,Male
Salim,Male
Said,Male
Salit,Male
Abbad,Male
Salman,Male
Usama,Male
Hassan,Male
Khabbab,Male
Arqam,Male
Dihyah,Male
Uwais,Male
Muawwaz,Male
Uthman,Male
Shams,Male
Labīd,Male
Ahnaf,Male
Suhayl,Male
Zayd,Male
Shuja,Male
Urwah,Male
Ibrahim,Male
Tamim,Male
Ghufairah,Female
Barakah,Female
Afraa,Female
Hammanah,Female
Ramla,Female
Najiyah,Female
Khairah,Female
Juwayriyya,Female
Halah,Female
Jumail,Female
Aminah,Female
Zainab,Female
Safiyya,Female
Ruqayyah,Female
Barzah,Female
Atheelah,Female
Kareemah,Female
Hafsah,Female
Thubaytah,Female
Halimah,Female
Yash,Male
Daksh,Male
Yaju,Male
Jaivardhan,Male
Sanu,Male
Kuj,Male
Viraja,Male
Manuj,Male
Mohit,Male
Kanishk,Male
Balaram,Male
Kashyap,Male
Jatin,Male
Ayush,Male
Tirth,Male
Ijya,Male
Yadav,Male
Haran,Male
Vyas,Male
Jigen,Male
Sushma,Female
Priyanka,Female
Nidhi,Female
Parineeta,Female
Sakshi,Female
Sanjukta,Female
Saumya,Female
Mriga,Female
Geetashree,Female
Sandhya,Female
Vaani,Female
Disha,Female
Ahana,Female
Malavika,Female
Harshita,Female
Akansha,Female
Tanuja,Female
Niharika,Female
Lavanya,Female
Akshita,Female
